역사명,노선명,역위도,역경도
설화명곡,대구 도시철도 1호선,35.7987183,128.4893178
화원,대구 도시철도 1호선,35.8043566,128.50040420000002
대곡,대구 도시철도 1호선,35.809497,128.510391
진천,대구 도시철도 1호선,35.813826,128.520397
월배,대구 도시철도 1호선,35.816276,128.528392
상인,대구 도시철도 1호선,35.818965999999996,128.535684
월촌,대구 도시철도 1호선,35.823688,128.543277
송현,대구 도시철도 1호선,35.831078999999995,128.549562
성당못,대구 도시철도 1호선,35.837471,128.555224
대명,대구 도시철도 1호선,35.839302,128.563288
안지랑,대구 도시철도 1호선,35.839242999999996,128.571705
현충로,대구 도시철도 1호선,35.840911,128.579194
영대병원,대구 도시철도 1호선,35.844269,128.586057
교대,대구 도시철도 1호선,35.851106,128.588432
명덕,대구 도시철도 1호선,35.858025700000006,128.5824361
반월당,대구 도시철도 1호선,35.864678000000005,128.591147
중앙로,대구 도시철도 1호선,35.870913,128.591799
대구,대구 도시철도 1호선,35.8763691,128.5884861
칠성시장,대구 도시철도 1호선,35.876141,128.602971
신천,대구 도시철도 1호선,37.511624,127.08339099999999
동대구,대구 도시철도 1호선,35.877303000000005,128.627513
큰고개,대구 도시철도 1호선,35.8838366,128.63162309999998
아양교,대구 도시철도 1호선,35.887162,128.6375663
동촌,대구 도시철도 1호선,35.886159,128.649053
해안,대구 도시철도 1호선,35.8838981,128.65931080000001
방촌,대구 도시철도 1호선,35.879692,128.669976
용계,대구 도시철도 1호선,35.876273,128.681415
율하,대구 도시철도 1호선,35.869578999999995,128.69303200000002
신기,대구 도시철도 1호선,35.866759,128.701658
반야월,대구 도시철도 1호선,35.865999,128.713553
각산,대구 도시철도 1호선,35.868012,128.724389
안심,대구 도시철도 1호선,35.871227000000005,128.73373899999999
문양,대구 도시철도 2호선,35.864171,128.436969
다사,대구 도시철도 2호선,35.8649583,128.45610829999998
대실,대구 도시철도 2호선,35.8579028,128.4644392
강창,대구 도시철도 2호선,35.853071299999996,128.4770843
계명대,대구 도시철도 2호선,35.8511654,128.4909082
성서산업단지,대구 도시철도 2호선,35.851681799999994,128.5068662
이곡,대구 도시철도 2호선,35.850578000000006,128.515776
용산,대구 도시철도 2호선,35.849053000000005,128.528702
죽전,대구 도시철도 2호선,35.8503956,128.5381172
감삼,대구 도시철도 2호선,35.854232700000004,128.5477848
두류,대구 도시철도 2호선,35.857887299999994,128.5552363
내당,대구 도시철도 2호선,35.860139000000004,128.564636
반고개,대구 도시철도 2호선,35.862248,128.572731
신남,대구 도시철도 2호선,35.864875,128.582358
반월당,대구 도시철도 2호선,35.865513,128.593393
경대병원,대구 도시철도 2호선,35.863183,128.60262600000001
대구은행,대구 도시철도 2호선,35.859777,128.614091
범어,대구 도시철도 2호선,35.8590259,128.6238385
수성구청,대구 도시철도 2호선,35.8585726,128.6360776
만촌,대구 도시철도 2호선,35.8580984,128.64299340000002
담티,대구 도시철도 2호선,35.8548283,128.6517483
연호,대구 도시철도 2호선,35.846360600000004,128.6712747
대공원,대구 도시철도 2호선,35.8426754,128.6797386
고산,대구 도시철도 2호선,35.8428892,128.6928426
신매,대구 도시철도 2호선,35.8408467,128.70452859999997
사월,대구 도시철도 2호선,35.836993299999996,128.7134473
정평,대구 도시철도 2호선,35.8340843,128.7264743
임당,대구 도시철도 2호선,35.8343906,128.7408599
영남대,대구 도시철도 2호선,35.8363683,128.7507913
칠곡경대병원,대구 도시철도 3호선,35.958393900000004,128.5599142
학 정,대구 도시철도 3호선,35.951577,128.5591956
팔 거,대구 도시철도 3호선,35.944126000000004,128.55835390000001
동 천,대구 도시철도 3호선,35.9377071,128.55666019999998
칠곡운암,대구 도시철도 3호선,35.931486799999995,128.55457109999998
구 암,대구 도시철도 3호선,35.92576079999999,128.5504075
태 전,대구 도시철도 3호선,35.9197078,128.54749520000001
매 천,대구 도시철도 3호선,35.9127328,128.5433793
매천시장,대구 도시철도 3호선,35.9044626,128.5457614
팔 달,대구 도시철도 3호선,35.897849799999996,128.54675749999998
공 단,대구 도시철도 3호선,35.8919855,128.55362040000003
만 평,대구 도시철도 3호선,35.8898678,128.56102099999998
팔달시장,대구 도시철도 3호선,35.8888598,128.567844
원 대,대구 도시철도 3호선,35.8878671,128.5742706
북구청,대구 도시철도 3호선,35.8838928,128.5814795
달성공원,대구 도시철도 3호선,35.875779,128.5820904
서문시장,대구 도시철도 3호선,35.8697503,128.5822416
신남,대구 도시철도 3호선,35.864270899999994,128.5823466
남 산,대구 도시철도 3호선,35.8566997,128.5833577
명 덕,대구 도시철도 3호선,35.856975299999995,128.5900125
건들바위,대구 도시철도 3호선,35.85541679999999,128.599626
대봉교,대구 도시철도 3호선,35.8550055,128.6063579
수성시장,대구 도시철도 3호선,35.8543308,128.6160342
수성구민운동장,대구 도시철도 3호선,35.852561,128.62508449999999
어린이회관,대구 도시철도 3호선,35.845212100000005,128.62446880000002
황 금,대구 도시철도 3호선,35.8391104,128.6239718
수성못,대구 도시철도 3호선,35.8313624,128.6231984
지 산,대구 도시철도 3호선,35.82517070000001,128.631909
범 물,대구 도시철도 3호선,35.8208443,128.64009620000002
용 지,대구 도시철도 3호선,35.8182735,128.6465169
